INV-010	PRIMARY	CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats	No epistemic/content delta was introduced by this retry. It only closes the R2A.2 persistence/delivery boundary. The prior INV-010 substantive result remains the pilot result: documented intervention is much easier to establish than counterfactual change of winner; I6/I7 remain the material unresolved causal boundary.
INV-011	PRIMARY	CIA, médias et Operation Mockingbird : faits établis, mythes, continuités éventuelles	INV-011 establishes a heterogeneous Cold War CIA-media system rather than a single proven umbrella programme: the Church record documents covert journalist/media relationships, payments, organizational cover and foreign propaganda access, while primary CIA files use Project MOCKINGBIRD for a specific 1963 wiretap against Robert S. Allen and Paul J. Scott. Post-1976 policy and the 1996 statute materially restricted paid/operational use but retained voluntary cooperation and narrow waiver authority. The run therefore closes historical capability and several operational edges without establishing general U.S. editorial command, a primary-verified cumulative 400-plus denominator, uninterrupted p
INV-012	PRIMARY	COINTELPRO et ingénierie politique intérieure américaine : infiltration, fragmentation, surveillance, neutralisation	
INV-013	PRIMARY	Active Measures soviétiques puis russes : continuités, ruptures, doctrine et efficacité réelle	INV-013 ferme une distinction essentielle entre continuité tactique et continuité institutionnelle. Le corpus établit un répertoire soviétique documenté d'active measures (forgeries, fronts, influence agents, manipulation médiatique) et des opérations russes contemporaines actor-specific utilisant faux sites/personas, contenus fabriqués ou mis en scène, amplification coordonnée et dissimulation de provenance. La continuité est forte au niveau du répertoire et de l'adaptation technique, mais le corpus inspecté ne ferme pas une chaîne organisationnelle ininterrompue KGB/Service A -> opérateurs russes actuels. Les opérations modernes peuvent fermer opérateur/tasking/distribution dans des cas pr
INV-014	PRIMARY	Révolutions de couleur : Serbie, Géorgie, Ukraine, Kirghizistan ; dynamique endogène versus assistance extérieure	
INV-015	CASE	Otpor, CANVAS et exportation des techniques de mobilisation politique	INV-015 ferme une distinction à quatre étages : assistance matérielle/formation externe à Otpor, transfert humain documenté de méthodes vers Kmara/Pora, adoption locale des techniques, puis résultat politique. Les deux premiers étages sont établis ; l'effet aval reste multi-causal. Le corpus soutient donc une diffusion transnationale réelle de méthodes de mobilisation, sans fermer ni commandement externe des mouvements, ni suffisance causale de la formation pour expliquer le changement de régime. Les cas comparatifs et les échecs de diffusion imposent de conserver contexte domestique, coalition, surveillance électorale et réaction du régime comme causes concurrentes.
INV-016	PRIMARY	Printemps arabes : spontanéité, réseaux sociaux, assistance occidentale, ONG, diplomatie et intérêts géopolitiques	INV-016 établit trois contributions intermédiaires distinctes aux printemps arabes : une infrastructure d’assistance démocratique occidentale préexistait en Égypte ; un transfert tactique CANVAS/Otpor vers au moins un militant d’April 6 est documenté ; et les réseaux sociaux ont facilité information, logistique et participation précoce en Égypte ainsi que la coalition/information en Tunisie. Aucun de ces mécanismes ne ferme cependant `acteur extérieur -> tasking -> déclenchement -> chute du régime`. Le contrôle April 6 de 2008 montre qu’une forte audience Facebook peut ne pas produire une mobilisation de rue réussie, et le cas tunisien impose de distinguer catalyse numérique et origine domes
INV-017	CASE	Cambridge Analytica : données, psychométrie, microtargeting et différence entre capacité revendiquée et efficacité démontrée	INV-017 ferme la chaîne amont Cambridge Analytica sans valider le récit d'une machine électorale dont l'effet serait démontré. FTC et ICO établissent collecte GSR/Facebook à grande échelle, génération de scores de personnalité, appariement avec des fichiers électoraux et usage pour des services de profilage/ciblage. Les paiements FEC et témoignages ferment une participation matérielle aux campagnes américaines. Les travaux académiques confirment qu'inférer des traits depuis des traces numériques et modifier certains comportements par ciblage psychologique est techniquement plausible, mais ces résultats ne démontrent ni l'exactitude des modèles Cambridge Analytica pour chaque électeur, ni l'e
INV-018	CASE	Élections américaines 2016 : opération russe démontrée, effet électoral non démontré, construction politique ultérieure du récit	
INV-019	PRIMARY	États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections	L'architecture américaine est un **écosystème public-financé à plusieurs régimes de contrôle**, pas une seule agence :  NED combine financement public, identité privée/nonprofit et discrétion d'un Board distinct. USAGM combine mission stratégique publique et firewall éditorial.
