section	inv_id	family_id	disposition	authority	support_function	reader_source_status	note
§2	INV-010	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-011	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-012	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-013	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-014	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-015	F1	COVERED_BY_MATERIAL_FAMILY	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Rendement préservé dans la famille matérielle et son plafond probatoire; pas de section dédiée nécessaire.
§2	INV-016	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-017	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§2	INV-018	F1	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-019	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-021	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-022	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-023	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-025	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-026	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-027	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-028	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-029	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-030	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-033	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-035	F2	GAP_EXPLICIT	EXCLUDED	negative_knowledge_gap	N/A	Artefact terminal absent du corpus V1; aucune reconstruction autorisée.
§3	INV-036	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§3	INV-037	F2	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-039	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-041	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-042	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-043	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-044	F3	DIRECT_MATERIAL_USE	RECOVERY_ONLY	material_support	PENDING_PUBLIC_SOURCE_LAYER	Récupération bornée conservée à autorité dégradée; aucune promotion au rang de handoff original.
§4	INV-045	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-046	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-047	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§4	INV-048	F3	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-049	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-051	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-053	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-054	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-056	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-057	F4	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-059	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-061	F5	COVERED_BY_MATERIAL_FAMILY	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Rendement préservé dans la famille matérielle et son plafond probatoire; pas de section dédiée nécessaire.
§5	INV-062	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-063	F5	COVERED_BY_MATERIAL_FAMILY	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Rendement préservé dans la famille matérielle et son plafond probatoire; pas de section dédiée nécessaire.
§5	INV-064	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-065	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-066	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§5	INV-067	F5	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§6	INV-069	F6	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§6	INV-070	F6	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
§6	INV-071	F6	DIRECT_MATERIAL_USE	FIRST_ORDER_RESULT	material_support	PENDING_PUBLIC_SOURCE_LAYER	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
